work_name,mtype,images
GB122,LL5,"['GB122-T6-2.jpg', 'GB122-T6.jpg']"
GB137,L6,"['GB137-T6-2.jpg', 'GB137-T6-3.jpg', 'GB137-T6-4.jpg', 'GB137-T6.jpg']"
GB139,LL5,['GB139-2.jpg']
GB146,LL5,"['GB146-1.jpg', 'GB146-2.jpg', 'GB146-3.jpg', 'GB146-4.jpg']"
GB149,LL6,"['GB149-T6-1.jpg', 'GB149-T6-2.jpg', 'GB149-T6-3.jpg']"
GB160,LL6,"['GB160-T6-2.jpg', 'GB160-T6-3.jpg', 'GB160-T6-4.jpg', 'GB160-T6.jpg']"
GB182,H5,"['GB182-2.jpg', 'GB182-3.jpg', 'GB182-4.jpg', 'GB182.jpg']"
GB184,H5,['GB184.jpg']
GB192,H5-6,"['GB192-T6-2.jpg', 'GB192-T6-3.jpg', 'GB192-T6-4.jpg', 'GB192-T6.jpg']"
GB196,H5,"['GB196-T5-1.jpg', 'GB196-T5-2.jpg', 'GB196-T5-3.jpg']"
GB197,H5,"['GB197-2.jpg', 'GB197-3.jpg', 'GB197.jpg']"
GB208,H5,"['GB208-2.jpg', 'GB208.jpg']"
GB293,LL6,"['GB293-2.jpg', 'GB293-3.jpg', 'GB293-4.jpg', 'GB293.jpg']"
GB39,,['GB39.jpg']
GC002,,"['GC002-2.jpg', 'GC002-3.jpg', 'GC002.jpg']"
GC004,,"['GC004-2.jpg', 'GC004-3.jpg', 'GC004-4.jpg', 'GC004.jpg', 'GC004_T6-1.jpg', 'GC004_T6-2.jpg']"
GC005,,['GC005.jpg']
GC006,,"['GC006-T6-2.jpg', 'GC006-T6-3.jpg', 'GC006-T6-4.jpg', 'GC006-T6.jpg', 'GC006.jpg', 'GC006_T6.jpg']"
GC007,,['GC007-T6.jpg']
GC010,,['GC010.jpg']
GC014b,,"['GC014b-T5-2.jpg', 'GC014b-T5.jpg', 'GC014b_Odd-PLAGIO-rim.jpg']"
GC014c,,['GC014c_T5.jpg']
GC015,,"['GC015-2.jpg', 'GC015-3.jpg']"
GC019,,"['GC019-T5.jpg', 'GC019.jpg']"
GC021,,"['GC021_T5-2.jpg', 'GC021_T5.jpg']"
GC024,,"['GC024-2.jpg', 'GC024-3.jpg', 'GC024-4.jpg', 'GC024-5.jpg', 'GC024.jpg']"
GC026,,"['GC026-T5-2.jpg', 'GC026-T5-3.jpg', 'GC026-T5.jpg']"
GC029,,"['GC029-T5.jpg', 'GC029_T5-2.jpg', 'GC029_T5.jpg']"
GC067,,"['GC067_T5-2.jpg', 'GC067_T5.jpg']"
J557b,H5,['J557b.jpg']
JG155,H5,"['JG155-2.jpg', 'JG155-3.jpg', 'JG155.jpg']"
JG156,H6,"['JG156-2.jpg', 'JG156-3.jpg', 'JG156.jpg']"
JG171,L6,"['JG171-2.jpg', 'JG171-3.jpg', 'JG171-4.jpg', 'JG171.jpg']"
LA030,H6,"['LA030-2.jpg', 'LA030-3.jpg', 'LA030.jpg']"
MA050,L6,['MA050.jpg']
MA176,L6,"['MA176-2.jpg', 'MA176-3.jpg', 'MA176-4.jpg', 'MA176-5.jpg', 'MA176.jpg']"
MA177,L6,"['MA177-2.jpg', 'MA177-3.jpg', 'MA177-4.jpg', 'MA177.jpg']"
MA184,H5,"['MA184-2.jpg', 'MA184-3.jpg', 'MA184-4.jpg', 'MA184.jpg']"
MA187b,H5,"['MA187b-2.jpg', 'MA187b-3.jpg', 'MA187b-4.jpg', 'MA187b.jpg']"
MA194,L6,['MA194_T6.jpg']
MA197,H6,"['MA197-2.jpg', 'MA197-3.jpg', 'MA197-4.jpg', 'MA197.jpg']"
MA209,H6,"['MA209-2.jpg', 'MA209-3.jpg', 'MA209.jpg']"
MA219,L5,"['MA219-2.jpg', 'MA219.jpg']"
MA267,L6,"['MA267-2.jpg', 'MA267-3.jpg', 'MA267-4.jpg', 'MA267-5.jpg', 'MA267.jpg']"
MA284,H6,['MA284-2.jpg']
MA288,H6,"['MA288-2.jpg', 'MA288-3.jpg', 'MA288.jpg']"
MA294,,['MA294.jpg']
MA300,L6,"['MA300-2.jpg', 'MA300-3.jpg', 'MA300-4.jpg', 'MA300.jpg']"
MB019,H6,"['MB019-2.jpg', 'MB019-3.jpg', 'MB019.jpg']"
MB033,H6,"['MB033-2.jpg', 'MB033.jpg']"
MB042,L6,"['MB042-2.jpg', 'MB042.jpg']"
MB050,H6,"['MB050-2.jpg', 'MB050-3.jpg', 'MB050.jpg']"
MB055,L5,"['MB055-2.jpg', 'MB055-3.jpg', 'MB055.jpg']"
MB056,H6,"['MB056-2.jpg', 'MB056-3.jpg', 'MB056.jpg']"
MB090,L6,"['MB090-2.jpg', 'MB090-3.jpg', 'MB090-4.jpg', 'MB090.jpg']"
MB106,H5,"['MB106-2.jpg', 'MB106.jpg']"
MB115,H5,"['MB115-1.jpg', 'MB115-2.jpg', 'MB115.jpg']"
MB128,L6,"['MB128-2.jpg', 'MB128-3.jpg', 'MB128.jpg']"
MB150,H6,"['MB150-2.jpg', 'MB150-3.jpg', 'MB150.jpg']"
MB155,H6,"['MB155-2.jpg', 'MB155.jpg']"
MB159,H5,"['MB159-2.jpg', 'MB159-3.jpg', 'MB159.jpg']"
MB309,H5,"['MB309-2.jpg', 'MB309.jpg']"
MB329,LL5,"['MB329-2.jpg', 'MB329-3.jpg', 'MB329-4.jpg', 'MB329-5.jpg', 'MB329.jpg']"
MB336,H5-6,"['MB336-2.jpg', 'MB336.jpg']"
MC001,L4,['MC001_T5.jpg']
MC002,H5,"['MC002-2.jpg', 'MC002-3.jpg', 'MC002-4.jpg', 'MC002-5.jpg', 'MC002-6.jpg', 'MC002.jpg', 'MC002_T6-2.jpg', 'MC002_T6-3.jpg', 'MC002_T6.jpg']"
MC003,H5,['MC003.jpg']
MC004,L3.8,"['MC004-T5.jpg', 'MC004_T5-2.jpg', 'MC004_T5.jpg']"
MC007,LL5,['MC007_T6.jpg']
MC010,CV3,"['MC010_T5-1.jpg', 'MC010_T5.jpg']"
MC012,LL4,"['MC012-BRECCIA5-6.jpg', 'MC012_T5.jpg']"
MC176,,['MC176.jpg']
MV050a,H5,"['MV050a-2.jpg', 'MV050a-3.jpg', 'MV050a-4.jpg', 'MV050a.jpg']"
MV055,H6,"['MV055big-2.jpg', 'MV055big.jpg']"
MV057,L6,"['MV057-2.jpg', 'MV057-3.jpg', 'MV057-4.jpg', 'MV057-5.jpg', 'MV057-6.jpg', 'MV057.jpg']"
MV060,H6,"['MV060-2.jpg', 'MV060-3.jpg', 'MV060-4.jpg', 'MV060.jpg']"
MV065,H6,['MV065_T6.jpg']
MV106,H5,['MV106.jpg']
MV109,H5,['MV109.jpg']
RB027,H5,"['RB027-2.jpg', 'RB027.jpg']"
RB044,H5,['RB044.jpg']
RB074,H5,"['RB074-2.jpg', 'RB074.jpg']"
RB083,H5,['RB083-CAT578.jpg']
RB095,H5,"['RB095-2.jpg', 'RB095-3.jpg', 'RB095.jpg']"
RB108,LL5,"['RB108-2.jpg', 'RB108.jpg']"
RB130,H5,['RB130.jpg']
RB194,LL5,['RB194.jpg']
RB197,H6,"['RB197-2.jpg', 'RB197-3.jpg', 'RB197-34.jpg', 'RB197.jpg']"
RB227,H5,"['RB227-2.jpg', 'RB227.jpg']"
RB246,L6,"['RB246-T6-2.jpg', 'RB246-T6-3.jpg', 'RB246-T6-4.jpg', 'RB246-T6-5.jpg', 'RB246-T6-6.jpg', 'RB246-T6.jpg']"
RB250,LL5,['RB250.jpg']
RB255,H5,"['RB255-2.jpg', 'RB255-3.jpg', 'RB255-4.jpg', 'RB255.jpg']"
RM008,H5-6,"['RM008-2.jpg', 'RM008.jpg']"
RM010,LL5,"['RM010-2.jpg', 'RM010-3.jpg', 'RM010-4.jpg', 'RM010.jpg']"
RM015,LL5,"['RM015-2.jpg', 'RM015-3.jpg', 'RM015-4.jpg', 'RM015.jpg']"
RM016A,H5,"['RM016A+4.jpg', 'RM016A-2.jpg', 'RM016A-3.jpg', 'RM016A.jpg']"
RM018,H5-6,"['RM018-2.jpg', 'RM018-3.jpg', 'RM018-4.jpg', 'RM018.jpg']"
RM0182,,['RM0182.jpg']
RM023,LL5,"['RM023-2.jpg', 'RM023.jpg']"
RM032,L6,"['RM032-2.jpg', 'RM032-3.jpg', 'RM032.jpg']"
RM036B,L6,"['RM036B-2.jpg', 'RM036B-3.jpg', 'RM036B-4.jpg', 'RM036B.jpg']"
RM039,H5,['RM039.jpg']
RM042,H6,"['RM042-2.jpg', 'RM042-3.jpg', 'RM042.jpg']"
RM063,H5,"['RM063-2.jpg', 'RM063-3.jpg', 'RM063-4.jpg', 'RM063-5.jpg', 'RM063.jpg']"
RM064,L6,"['RM064-2.jpg', 'RM064-3.jpg', 'RM064.jpg']"
RM074,H5,"['RM074-2.jpg', 'RM074-3.jpg', 'RM074.jpg']"
RM08,L6,['RM08-4.jpg']
RM080,L6,"['RM080-1.jpg', 'RM080-3.jpg', 'RM080-4.jpg', 'RM080.jpg']"
RM081,L5-6,"['RM081-2.jpg', 'RM081-3.jpg', 'RM081-4.jpg', 'RM081.jpg']"
RM083,H5-6,"['RM083-.jpg', 'RM083-4.jpg', 'RM083.jpg']"
RM0833,,['RM0833.jpg']
RM089,LL5-6,"['RM089-.jpg', 'RM089-3.jpg', 'RM089.jpg']"
RM093,H5,"['RM093-2.jpg', 'RM093-3.jpg', 'RM093-4.jpg', 'RM093.jpg']"
RM094,LL6,"['RM094-2.jpg', 'RM094-3.jpg', 'RM094-4.jpg', 'RM094.jpg']"
RM095,LL5,"['RM095-2.jpg', 'RM095-3.jpg', 'RM095-4.jpg', 'RM095.jpg']"
RM098,H5-6,"['RM098-2.jpg', 'RM098-3.jpg', 'RM098-4.jpg', 'RM098.jpg']"
RM100,L6,"['RM100-2.jpg', 'RM100-3.jpg', 'RM100-4.jpg', 'RM100-5.jpg', 'RM100.jpg']"
RM108,H6,"['RM108-2.jpg', 'RM108-3.jpg', 'RM108-4.jpg', 'RM108.jpg']"
RM114,H5,"['RM114-2.jpg', 'RM114-3.jpg', 'RM114-4.jpg', 'RM114.jpg']"
